ticker,name,city,isin
ATAKP,ATAKEY PATATES GIDA SANAYİ VE TİCARET A.Ş.,İSTANBUL,TREATKY00016
ATATP,ATP YAZILIM VE TEKNOLOJİ A.Ş.,İSTANBUL,TREATTP00023
ATATR,ATA TURİZM İŞLETMECİLİK TAŞIMACILIK MADENCİLİK KUYUMCULUK SANAYİ VE DIŞ TİCARET A.Ş.,İSTANBUL,TREATTR00011
ATEKS,AKIN TEKSTİL A.Ş.,İSTANBUL,TRAATEKS91B5
ATLAS,ATLAS MENKUL KIYMETLER YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,TRAATLAS91Q9
ATSYH,ATLANTİS YATIRIM HOLDİNG A.Ş.,İSTANBUL,TRAATSYO91Q3
AVGYO,AVRASYA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,TRAAVRSY91Q2
AVHOL,AVRUPA YATIRIM HOLDİNG A.Ş.,İSTANBUL,TREBYTS00017
AVOD,A.V.O.D. KURUTULMUŞ GIDA VE TARIM ÜRÜNLERİ SANAYİ TİCARET A.Ş.,İZMİR,TREAVOD00018
AVPGY,AVRUPAKENT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,TREAVRK00024
AYCES,ALTIN YUNUS ÇEŞME TURİSTİK TESİSLER A.Ş.,İZMİR,TRAAYCES92K1
AYDEM,AYDEM YENİLENEBİLİR ENERJİ A.Ş.,DENİZLİ,TREAYDM00024
AYEN,AYEN ENERJİ A.Ş.,ANKARA,TRAAYENW91L0
AYES,AYES ÇELİK HASIR VE ÇİT SANAYİ A.Ş.,İSTANBUL,TREAYES00011
AYGAZ,AYGAZ A.Ş.,İSTANBUL,TRAAYGAZ91E0
AZTEK,AZTEK TEKNOLOJİ ÜRÜNLERİ TİCARET A.Ş.,İSTANBUL,TREAZTK00021
BAGFS,BAGFAŞ BANDIRMA GÜBRE FABRİKALARI A.Ş.,İSTANBUL,TRABAGFS91E2
BAHKM,BAHADIR KİMYA SANAYİ VE TİCARET A.Ş.,KIRIKKALE,TREBHDR00018
BAKAB,BAK AMBALAJ SANAYİ VE TİCARET A.Ş.,İZMİR,TRABAKAB91D3
BALAT,BALATACILAR BALATACILIK SANAYİ VE TİCARET A.Ş.,İZMİR,TREBLTA00012
